id|context|template|scrambledWords|correctSentence|distractor|difficulty
ms-1|What is your favorite subject?|My favorite subject is _____ _____ _____ _____ _____ .|["math","because","it","is","fun"]|My favorite subject is math because it is fun.|learning|Middle School
ms-2|What time do you wake up?|I usually wake up _____ _____ _____ _____ _____ .|["at","seven","in","the","morning"]|I usually wake up at seven in the morning.|early|Middle School
ms-3|Where do you live?|I live in a _____ _____ _____ _____ _____ .|["small","house","near","the","park"]|I live in a small house near the park.|staying|Middle School
ms-4|What did you eat for lunch?|I ate a sandwich _____ _____ _____ _____ _____ .|["and","an","apple","for","lunch"]|I ate a sandwich and an apple for lunch.|eating|Middle School
ms-5|Do you have any pets?|Yes I have a _____ _____ _____ _____ _____ .|["dog","who","loves","to","run","fast"]|Yes I have a dog who loves to run fast.|cat|Middle School
ms-6|What are you doing now?|I am studying English _____ _____ _____ _____ _____ .|["for","my","big","test","tomorrow"]|I am studying English for my big test tomorrow.|making|Middle School
ms-7|How do you go to school?|I go to school _____ _____ _____ _____ _____ .|["by","bus","every","single","day"]|I go to school by bus every single day.|walking|Middle School
ms-8|What is your mother's job?|My mother works as _____ _____ _____ _____ _____ .|["a","nurse","at","the","hospital"]|My mother works as a nurse at the hospital.|teaching|Middle School
ms-9|What is your hobby?|My hobby is reading _____ _____ _____ _____ _____ .|["books","in","my","free","time"]|My hobby is reading books in my free time.|playing|Middle School
ms-10|Can you swim?|Yes I can swim _____ _____ _____ _____ _____ .|["very","well","in","the","pool"]|Yes I can swim very well in the pool.|ocean|Middle School
ms-11|Is the library open?|The library is open _____ _____ _____ _____ _____ .|["from","nine","to","five","today"]|The library is open from nine to five today.|closed|Middle School
ms-12|What color is your bag?|My new school bag _____ _____ _____ _____ _____ .|["is","bright","blue","and","very","light"]|My new school bag is bright blue and very light.|heavy|Middle School
ms-13|Do you like sports?|I like to play _____ _____ _____ _____ _____ .|["soccer","with","my","friends","after","school"]|I like to play soccer with my friends after school.|cooking|Middle School
ms-14|What is for dinner?|We are having pizza _____ _____ _____ _____ _____ .|["for","dinner","at","home","tonight"]|We are having pizza for dinner at home tonight.|breakfast|Middle School
ms-15|Where is your brother?|My brother is playing _____ _____ _____ _____ _____ .|["video","games","in","his","bedroom"]|My brother is playing video games in his bedroom.|outside|Middle School
ms-16|How is the weather?|The weather is very _____ _____ _____ _____ _____ .|["sunny","and","warm","in","the","afternoon"]|The weather is very sunny and warm in the afternoon.|snowy|Middle School
ms-17|Can I borrow a pen?|You can borrow my _____ _____ _____ _____ _____ .|["pen","if","you","give","it","back"]|You can borrow my pen if you give it back.|lost|Middle School
ms-18|Who is your teacher?|My English teacher is _____ _____ _____ _____ _____ .|["very","kind","and","helps","me","a","lot"]|My English teacher is very kind and helps me a lot.|angry|Middle School
ms-19|Do you like music?|I like to listen _____ _____ _____ _____ _____ .|["to","pop","music","on","my","phone"]|I like to listen to pop music on my phone.|singing|Middle School
ms-20|What did you buy?|I bought a new _____ _____ _____ _____ _____ .|["shirt","at","the","mall","last","weekend"]|I bought a shirt at the mall last weekend.|sold|Middle School
ms-21|When is your birthday?|My birthday is in _____ _____ _____ _____ _____ .|["the","month","of","July","this","year"]|My birthday is in the month of July this year.|winter|Middle School
ms-22|Are you hungry?|I want to eat _____ _____ _____ _____ _____ .|["a","big","hamburger","for","my","lunch"]|I want to eat a big hamburger for my lunch.|water|Middle School
ms-23|Where is the cat?|The cat is sleeping _____ _____ _____ _____ _____ .|["under","the","table","in","the","kitchen"]|The cat is sleeping under the table in the kitchen.|tree|Middle School
ms-24|What do you do on Sundays?|I go to the _____ _____ _____ _____ _____ .|["park","with","my","family","every","Sunday"]|I go to the park with my family every Sunday.|work|Middle School
ms-25|Can you ride a bike?|I learned how to _____ _____ _____ _____ _____ .|["ride","a","bike","last","summer","break"]|I learned how to ride a bike last summer break.|drive|Middle School
ms-26|Do you have homework?|I have a lot _____ _____ _____ _____ _____ .|["of","math","homework","to","finish","tonight"]|I have a lot of math homework to finish tonight.|easy|Middle School
ms-27|What is your name?|My name is written _____ _____ _____ _____ _____ .|["on","the","front","of","my","notebook"]|My name is written on the front of my notebook.|bag|Middle School
ms-28|How many books do you have?|I have many books _____ _____ _____ _____ _____ .|["on"," the","shelf","in","my","room"]|I have many books on the shelf in my room.|floor|Middle School
ms-29|Is he your friend?|He has been my _____ _____ _____ _____ _____ .|["best","friend","since","we","were","kids"]|He has been my best friend since we were kids.|teacher|Middle School
ms-30|What do you see?|I can see a _____ _____ _____ _____ _____ .|["beautiful","rainbow","in","the","blue","sky"]|I can see a beautiful rainbow in the blue sky.|night|Middle School
ms-31|Why are you happy?|I am happy because _____ _____ _____ _____ _____ .|["I","got","a","good","grade","today"]|I am happy because I got a good grade today.|sad|Middle School
ms-32|Do you drink milk?|I drink a glass _____ _____ _____ _____ _____ .|["of","milk","every","morning","for","health"]|I drink a glass of milk every morning for health.|soda|Middle School
ms-33|Where is your dad?|My dad is washing _____ _____ _____ _____ _____ .|["his","car","in","the","garage","now"]|My dad is washing his car in the garage now.|office|Middle School
ms-34|What is that?|That is a very _____ _____ _____ _____ _____ .|["cute","little","bird","on","the","tree"]|That is a very cute little bird on the tree.|dog|Middle School
ms-35|Do you like fruit?|My favorite fruit is _____ _____ _____ _____ _____ .|["a","sweet","red","apple","from","California"]|My favorite fruit is a sweet red apple from California.|vegetable|Middle School
ms-36|Are you tired?|I want to go _____ _____ _____ _____ _____ .|["to","sleep","early","on","this","Friday"]|I want to go to sleep early on this Friday.|party|Middle School
ms-37|What do you wear?|I wear a warm _____ _____ _____ _____ _____ .|["coat","when","it","is","cold","outside"]|I wear a warm coat when it is cold outside.|shorts|Middle School
ms-38|Can you help me?|I can help you _____ _____ _____ _____ _____ .|["with","your","heavy","bags","right","now"]|I can help you with your heavy bags right now.|no|Middle School
ms-39|Where is the ball?|The ball is under _____ _____ _____ _____ _____ .|["the","chair","next","to","the","door"]|The ball is under the chair next to the door.|window|Middle School
ms-40|What is your phone number?|I will write my _____ _____ _____ _____ _____ .|["number","on","this","piece","of","paper"]|I will write my number on this piece of paper.|call|Middle School
ms-41|Do you like cake?|I like chocolate cake _____ _____ _____ _____ _____ .|["more","than","any","other","sweet","dessert"]|I like chocolate cake more than any other sweet dessert.|bread|Middle School
ms-42|Is it far?|The school is not _____ _____ _____ _____ _____ .|["far","from","my","house","near","here"]|The school is not far from my house near here.|long|Middle School
ms-43|What are they doing?|They are watching a _____ _____ _____ _____ _____ .|["funny","movie","at","the","cinema","now"]|They are watching a funny movie at the cinema now.|reading|Middle School
ms-44|Do you have a sister?|I have one older _____ _____ _____ _____ _____ .|["sister","who","goes","to","college","now"]|I have one older sister who goes to college now.|brother|Middle School
ms-45|What is in the box?|There is a small _____ _____ _____ _____ _____ .|["toy","inside","the","yellow","box","here"]|There is a small toy inside the yellow box here.|nothing|Middle School
ms-46|Do you like winter?|I like winter because _____ _____ _____ _____ _____ .|["I","can","play","with","the","snow"]|I like winter because I can play with the snow.|summer|Middle School
ms-47|What is the time?|It is exactly ten _____ _____ _____ _____ _____ .|["o'clock","in","the","morning","right","now"]|It is exactly ten o'clock in the morning right now.|night|Middle School
ms-48|Where did you go?|I went to the _____ _____ _____ _____ _____ .|["zoo","to","see","the","lions","yesterday"]|I went to the zoo to see the lions yesterday.|school|Middle School
ms-49|Do you use a computer?|I use a computer _____ _____ _____ _____ _____ .|["to","do","my","homework","every","night"]|I use a computer to do my homework every night.|television|Middle School
ms-50|Are you a student?|I am a middle _____ _____ _____ _____ _____ .|["school","student","in","the","seventh","grade"]|I am a middle school student in the seventh grade.|teacher|Middle School
hs-1|Why were you late?|I was late because _____ _____ _____ _____ _____ _____ .|["I","missed","the","first","school","bus"]|I was late because I missed the first school bus.|running|High School
hs-2|What do you want to be?|I want to become _____ _____ _____ _____ _____ _____ .|["a","doctor","to","help","sick","people"]|I want to become a doctor to help sick people.|working|High School
hs-3|How was the movie?|The movie was exciting _____ _____ _____ _____ _____ _____ .|["but","it","was","a","bit","long"]|The movie was exciting but it was a bit long.|short|High School
hs-4|What should we do this weekend?|We should go hiking _____ _____ _____ _____ _____ _____ .|["if","the","weather","is","nice","outside"]|We should go hiking if the weather is nice outside.|rainy|High School
hs-5|Did you finish your homework?|I finished my homework _____ _____ _____ _____ _____ _____ .|["before","I","went","to","sleep","tonight"]|I finished my homework before I went to sleep tonight.|already|High School
hs-6|What is your opinion on uniforms?|I think school uniforms _____ _____ _____ _____ _____ _____ .|["help","students","focus","on","their","studies"]|I think school uniforms help students focus on their studies.|learning|High School
hs-7|Why is exercise important?|Regular exercise keeps your _____ _____ _____ _____ _____ _____ .|["body","healthy","and","your","mind","strong"]|Regular exercise keeps your body healthy and your mind strong.|fit|High School
hs-8|What did the teacher say?|The teacher said that _____ _____ _____ _____ _____ _____ .|["we","must","submit","the","final","report"]|The teacher said that we must submit the final report.|paper|High School
hs-9|How can we save energy?|We can save energy _____ _____ _____ _____ _____ _____ .|["by","turning","off","the","unused","lights"]|We can save energy by turning off the unused lights.|power|High School
hs-10|What is the problem with plastic?|Plastic waste is harmful _____ _____ _____ _____ _____ _____ .|["to","the","environment","and","wild","animals"]|Plastic waste is harmful to the environment and wild animals.|ocean|High School
hs-11|Why do you like city life?|Living in the city _____ _____ _____ _____ _____ _____ .|["provides","many","opportunities","for","entertainment","and","jobs"]|Living in the city provides many opportunities for entertainment and jobs.|quiet|High School
hs-12|What are your plans for summer?|I am planning to _____ _____ _____ _____ _____ _____ .|["volunteer","at","the","local","animal","shelter"]|I am planning to volunteer at the local animal shelter.|vacation|High School
hs-13|How do you stay healthy?|I try to eat _____ _____ _____ _____ _____ _____ .|["a","balanced","diet","with","plenty","of","vegetables"]|I try to eat a balanced diet with plenty of vegetables.|sugar|High School
hs-14|What is the best way to study?|Taking regular breaks helps _____ _____ _____ _____ _____ _____ .|["to","improve","your","concentration","and","memory"]|Taking regular breaks helps to improve your concentration and memory.|distract|High School
hs-15|Why is history important?|Studying history helps us _____ _____ _____ _____ _____ _____ .|["understand","the","roots","of","modern","societal","issues"]|Studying history helps us understand the roots of modern societal issues.|forget|High School
hs-16|What do you think of social media?|Social media can be _____ _____ _____ _____ _____ _____ .|["a","great","tool","for","staying","connected","online"]|Social media can be a great tool for staying connected online.|waste|High School
hs-17|How can we reduce pollution?|We should use public _____ _____ _____ _____ _____ _____ .|["transportation","to","reduce","carbon","emissions","and","traffic"]|We should use public transportation to reduce carbon emissions and traffic.|driving|High School
hs-18|What is your favorite book?|The story follows a _____ _____ _____ _____ _____ _____ .|["young","boy","who","discovers","a","hidden","world"]|The story follows a young boy who discovers a hidden world.|boring|High School
hs-19|Why is team work necessary?|Working in a team _____ _____ _____ _____ _____ _____ .|["allows","us","to","achieve","more","together","efficiently"]|Working in a team allows us to achieve more together efficiently.|alone|High School
hs-20|What did the principal announce?|The principal announced that _____ _____ _____ _____ _____ _____ .|["there","will","be","a","new","library","opening"]|The principal announced that there will be a new library opening.|closing|High School
hs-21|How do you manage stress?|I find that listening _____ _____ _____ _____ _____ _____ .|["to","calm","music","helps","me","relax","completely"]|I find that listening to calm music helps me relax completely.|noise|High School
hs-22|What is the benefit of travel?|Traveling to different countries _____ _____ _____ _____ _____ _____ .|["expands","your","perspective","and","cultural","understanding","well"]|Traveling to different countries expands your perspective and cultural understanding well.|boring|High School
hs-23|Why should we learn a second language?|Knowing another language opens _____ _____ _____ _____ _____ _____ .|["up","new","career","paths","and","travel","opportunities"]|Knowing another language opens up new career paths and travel opportunities.|close|High School
hs-24|What is the role of technology?|Modern technology has changed _____ _____ _____ _____ _____ _____ .|["the","way","we","interact","with","each","other"]|Modern technology has changed the way we interact with each other.|past|High School
hs-25|Why is art education important?|Art encourages students to _____ _____ _____ _____ _____ _____ .|["express","their","creativity","and","think","outside","the"]|Art encourages students to express their creativity and think outside the.|copying|High School
hs-26|How can we help the homeless?|Donating clothes and food _____ _____ _____ _____ _____ _____ .|["can","make","a","big","difference","in","their","lives"]|Donating clothes and food can make a big difference in their lives.|ignore|High School
hs-27|What is the impact of global warming?|Rising sea levels are _____ _____ _____ _____ _____ _____ .|["threatening","coastal","cities","and","low-lying","island","nations"]|Rising sea levels are threatening coastal cities and low-lying island nations.|safe|High School
hs-28|Why do we need sleep?|Lack of sleep can _____ _____ _____ _____ _____ _____ .|["negatively","affect","your","mood","and","daily","performance"]|Lack of sleep can negatively affect your mood and daily performance.|energy|High School
hs-29|What is your career goal?|I hope to work _____ _____ _____ _____ _____ _____ .|["in","the","field","of","renewable","energy","someday"]|I hope to work in the field of renewable energy someday.|oil|High School
hs-30|How do you handle failure?|Learning from your mistakes _____ _____ _____ _____ _____ _____ .|["is","essential","for","personal","growth","and","success"]|Learning from your mistakes is essential for personal growth and success.|giving|High School
hs-31|What is the importance of honesty?|Honesty builds trust and _____ _____ _____ _____ _____ _____ .|["strengthens","the","relationships","between","friends","and","family"]|Honesty builds trust and strengthens the relationships between friends and family.|lying|High School
hs-32|Why is reading good for you?|Reading regularly can improve _____ _____ _____ _____ _____ _____ .|["your","vocabulary","and","critical","thinking","skills","significantly"]|Reading regularly can improve your vocabulary and critical thinking skills significantly.|gaming|High School
hs-33|What is the problem with fast food?|Fast food is often _____ _____ _____ _____ _____ _____ .|["high","in","calories","and","low","in","nutrients"]|Fast food is often high in calories and low in nutrients.|healthy|High School
hs-34|How can we promote peace?|Education and dialogue are _____ _____ _____ _____ _____ _____ .|["key","to","resolving","conflicts","and","building","mutual","trust"]|Education and dialogue are key to resolving conflicts and building mutual trust.|war|High School
hs-35|What is the future of AI?|Artificial intelligence will continue _____ _____ _____ _____ _____ _____ .|["to","transform","various","industries","and","our","daily","lives"]|Artificial intelligence will continue to transform various industries and our daily lives.|stop|High School
hs-36|Why is volunteering rewarding?|Helping others provides a _____ _____ _____ _____ _____ _____ .|["sense","of","purpose","and","fulfillment","in","one's","life"]|Helping others provides a sense of purpose and fulfillment in one's life.|selfish|High School
hs-37|What is the value of friendship?|True friends support you _____ _____ _____ _____ _____ _____ .|["during","both","the","good","and","bad","times"]|True friends support you during both the good and bad times.|enemies|High School
hs-38|How do we prevent cyberbullying?|We must teach students _____ _____ _____ _____ _____ _____ .|["how","to","behave","respectfully","in","digital","spaces"]|We must teach students how to behave respectfully in digital spaces.|cruel|High School
hs-39|Why is music therapy effective?|Music has the power _____ _____ _____ _____ _____ _____ .|["to","heal","the","mind","and","reduce","anxiety"]|Music has the power to heal the mind and reduce anxiety.|stress|High School
hs-40|What is the role of a leader?|A good leader inspires _____ _____ _____ _____ _____ _____ .|["others","to","work","towards","a","common","vision","together"]|A good leader inspires others to work towards a common vision together.|boss|High School
hs-41|Why are honeybees important?|Bees play a vital _____ _____ _____ _____ _____ _____ .|["role","in","pollinating","crops","that","we","eat","daily"]|Bees play a vital role in pollinating crops that we eat daily.|harmful|High School
hs-42|How does the internet affect us?|The internet has made _____ _____ _____ _____ _____ _____ .|["information","more","accessible","to","people","all","around","world"]|The internet has made information more accessible to people all around world.|hidden|High School
hs-43|Why is patience a virtue?|Patience allows us to _____ _____ _____ _____ _____ _____ .|["handle","difficult","situations","with","calmness","and","clarity"]|Patience allows us to handle difficult situations with calmness and clarity.|anger|High School
hs-44|What is the benefit of sports?|Participating in sports teaches _____ _____ _____ _____ _____ _____ .|["discipline","teamwork","and","the","value","of","perseverance"]|Participating in sports teaches discipline teamwork and the value of perseverance.|lazy|High School
hs-45|How can we save the oceans?|Reducing plastic use is _____ _____ _____ _____ _____ _____ .|["crucial","for","protecting","marine","life","and","the","environment"]|Reducing plastic use is crucial for protecting marine life and the environment.|trash|High School
hs-46|Why is curiosity important?|Curiosity drives us to _____ _____ _____ _____ _____ _____ .|["explore","new","ideas","and","never","stop","learning"]|Curiosity drives us to explore new ideas and never stop learning.|bored|High School
hs-47|What is the impact of music?|Music can evoke strong _____ _____ _____ _____ _____ _____ .|["emotions","and","bring","people","from","different","backgrounds","together"]|Music can evoke strong emotions and bring people from different backgrounds together.|noise|High School
hs-48|How do we achieve goals?|Setting specific goals helps _____ _____ _____ _____ _____ _____ .|["to","stay","focused","and","track","your","progress","consistently"]|Setting specific goals helps to stay focused and track your progress consistently.|lost|High School
hs-49|Why is critical thinking necessary?|It allows us to _____ _____ _____ _____ _____ _____ .|["evaluate","information","objectively","and","make","logical","decisions"]|It allows us to evaluate information objectively and make logical decisions.|biased|High School
hs-50|What is the beauty of nature?|Spending time in nature _____ _____ _____ _____ _____ _____ .|["helps","to","refresh","the","mind","and","reduce","stress"]|Spending time in nature helps to refresh the mind and reduce stress.|busy|High School
q-1|What did the professor say about the upcoming mid-term evaluation?|He mentioned that _____ _____ _____ _____ _____ _____ _____ criteria.|["students","should","focus","on","the","new","grading"]|He mentioned that students should focus on the new grading criteria.|study|University
q-2|Why did you choose this internship program?|I was attracted to _____ _____ _____ _____ _____ _____ _____ experience.|["the","opportunity","to","gain","practical","hands-on","work"]|I was attracted to the opportunity to gain practical hands-on experience.|learning|University
q-3|How can we improve campus sustainability?|We should implement _____ _____ _____ _____ _____ _____ _____ waste.|["a","comprehensive","recycling","program","to","reduce","plastic"]|We should implement a comprehensive recycling program to reduce plastic waste.|trash|University
q-4|What is the main argument of the author?|The author argues that _____ _____ _____ _____ _____ _____ _____ society.|["technology","has","a","profound","impact","on","modern"]|The author argues that technology has a profound impact on modern society.|internet|University
q-5|Did you finish the research paper?|I have completed the _____ _____ _____ _____ _____ _____ _____ sources.|["draft","but","I","still","need","to","cite"]|I have completed the draft but I still need to cite sources.|write|University
q-6|What are the benefits of studying abroad?|It allows students to _____ _____ _____ _____ _____ _____ _____ perspectives.|["immerse","themselves","in","new","cultures","and","gain"]|It allows students to immerse themselves in new cultures and gain perspectives.|travel|University
q-7|Why is critical thinking important?|It enables individuals to _____ _____ _____ _____ _____ _____ _____ effectively.|["analyze","complex","information","and","make","informed","decisions"]|It enables individuals to analyze complex information and make informed decisions effectively.|think|University
q-8|What is the role of the student council?|The council serves as _____ _____ _____ _____ _____ _____ _____ administration.|["a","bridge","between","the","student","body","and"]|The council serves as a bridge between the student body and administration.|link|University
q-9|How does climate change affect the economy?|Extreme weather events can _____ _____ _____ _____ _____ _____ _____ infrastructure.|["disrupt","supply","chains","and","cause","damage","to"]|Extreme weather events can disrupt supply chains and cause damage to infrastructure.|destroy|University
q-10|What did the lecturer emphasize about history?|Understanding the past is _____ _____ _____ _____ _____ _____ _____ present.|["essential","for","comprehending","the","complexities","of","the"]|Understanding the past is essential for comprehending the complexities of the present.|knowing|University
q-11|Why are extracurricular activities encouraged?|They help students develop _____ _____ _____ _____ _____ _____ _____ skills.|["leadership","abilities","and","essential","interpersonal","communication","soft"]|They help students develop leadership abilities and essential interpersonal communication soft skills.|social|University
q-12|What is the significance of the experiment results?|The findings suggest that _____ _____ _____ _____ _____ _____ _____ variable.|["there","is","a","significant","correlation","with","the"]|The findings suggest that there is a significant correlation with the variable.|relationship|University
q-13|How should we approach the group project?|We need to delegate _____ _____ _____ _____ _____ _____ _____ strengths.|["tasks","according","to","each","member's","individual","unique"]|We need to delegate tasks according to each member's individual unique strengths.|work|University
q-14|What is the impact of social media on communication?|It has revolutionized how _____ _____ _____ _____ _____ _____ _____ world.|["we","connect","and","share","information","across","the"]|It has revolutionized how we connect and share information across the world.|internet|University
q-15|Why is biodiversity important for the ecosystem?|A diverse ecosystem is _____ _____ _____ _____ _____ _____ _____ changes.|["more","resilient","and","better","able","to","adapt","to"]|A diverse ecosystem is more resilient and better able to adapt to changes.|strong|University
q-16|What did the advisor suggest for your career path?|She recommended that I _____ _____ _____ _____ _____ _____ _____ field.|["pursue","further","education","in","my","chosen","specialized"]|She recommended that I pursue further education in my chosen specialized field.|study|University
q-17|How does the university support mental health?|The university provides counseling _____ _____ _____ _____ _____ _____ _____ well-being.|["services","to","help","students","maintain","their","mental"]|The university provides counseling services to help students maintain their mental well-being.|health|University
q-18|What is the purpose of the new policy?|The policy aims to _____ _____ _____ _____ _____ _____ _____ campus.|["promote","diversity","and","inclusion","across","the","entire"]|The policy aims to promote diversity and inclusion across the entire campus.|equality|University
q-19|Why is time management crucial for college students?|Effective time management allows _____ _____ _____ _____ _____ _____ _____ academics.|["students","to","balance","their","social","life","and"]|Effective time management allows students to balance their social life and academics.|study|University
q-20|What was the conclusion of the debate?|Both sides agreed that _____ _____ _____ _____ _____ _____ _____ issue.|["further","research","is","needed","to","resolve","the"]|Both sides agreed that further research is needed to resolve the issue.|discussion|University
q-21|How does artificial intelligence affect the workforce?|AI is expected to _____ _____ _____ _____ _____ _____ _____ industries.|["automate","repetitive","tasks","and","transform","various","service","driven"]|AI is expected to automate repetitive tasks and transform various service driven industries.|stop|University
q-22|What is the psychological impact of social isolation?|Prolonged isolation can lead _____ _____ _____ _____ _____ _____ _____ health.|["to","a","decline","in","cognitive","function","and","mental"]|Prolonged isolation can lead to a decline in cognitive function and mental health.|happy|University
q-23|Why is the study of economics relevant?|Economics provides a framework _____ _____ _____ _____ _____ _____ _____ allocation.|["for","understanding","how","societies","manage","their","limited","resource"]|Economics provides a framework for understanding how societies manage their limited resource allocation.|easy|University
q-24|What is the significance of renewable energy?|Transitioning to renewables is _____ _____ _____ _____ _____ _____ _____ warming.|["essential","for","mitigating","the","catastrophic","effects","of","global"]|Transitioning to renewables is essential for mitigating the catastrophic effects of global warming.|coal|University
q-25|How does globalization influence cultural identity?|Globalization can lead to _____ _____ _____ _____ _____ _____ _____ traditions.|["the","homogenization","of","cultures","while","simultaneously","reviving","local"]|Globalization can lead to the homogenization of cultures while simultaneously reviving local traditions.|isolation|University
q-26|What is the role of ethics in research?|Ethical guidelines ensure that _____ _____ _____ _____ _____ _____ _____ subjects.|["researchers","protect","the","rights","and","welfare","of","human"]|Ethical guidelines ensure that researchers protect the rights and welfare of human subjects.|ignore|University
q-27|How does urban planning affect public health?|Well-designed cities promote physical _____ _____ _____ _____ _____ _____ _____ spaces.|["activity","by","providing","easy","access","to","parks","green"]|Well-designed cities promote physical activity by providing easy access to parks green spaces.|cars|University
q-28|What is the impact of inflation on consumers?|Rising prices reduce the _____ _____ _____ _____ _____ _____ _____ goods.|["purchasing","power","of","consumers","making","it","harder","to"]|Rising prices reduce the purchasing power of consumers making it harder to buy essential goods.|cheap|University
q-29|Why is interdisciplinary research encouraged?|Combining different fields allows _____ _____ _____ _____ _____ _____ _____ problems.|["scholars","to","develop","innovative","solutions","to","complex","global"]|Combining different fields allows scholars to develop innovative solutions to complex global problems.|simple|University
q-30|What is the function of the immune system?|The immune system protects _____ _____ _____ _____ _____ _____ _____ pathogens.|["the","body","against","harmful","microorganisms","and","other","foreign"]|The immune system protects the body against harmful microorganisms and other foreign pathogens.|weak|University
q-31|How does the legal system ensure justice?|The judiciary must remain _____ _____ _____ _____ _____ _____ _____ law.|["independent","to","ensure","the","fair","and","impartial","application"]|The judiciary must remain independent to ensure the fair and impartial application of the law.|biased|University
q-32|What is the importance of sustainable development?|It seeks to meet _____ _____ _____ _____ _____ _____ _____ future.|["current","needs","without","compromising","the","ability","of","the"]|It seeks to meet current needs without compromising the ability of the future.|waste|University
q-33|How does remote work change corporate culture?|Remote work requires a _____ _____ _____ _____ _____ _____ _____ productivity.|["shift","in","management","styles","to","focus","more","on"]|Remote work requires a shift in management styles to focus more on productivity.|office|University
q-34|What is the role of literature in society?|Literature serves as a _____ _____ _____ _____ _____ _____ _____ experience.|["mirror","reflecting","the","complexities","and","diversity","of","human"]|Literature serves as a mirror reflecting the complexities and diversity of human experience.|boring|University
q-35|How do vaccines contribute to public health?|Vaccination programs are highly _____ _____ _____ _____ _____ _____ _____ diseases.|["effective","at","preventing","the","spread","of","contagious","infectious"]|Vaccination programs are highly effective at preventing the spread of contagious infectious diseases.|harmful|University
q-36|What is the impact of data privacy laws?|Stricter regulations aim to _____ _____ _____ _____ _____ _____ _____ information.|["empower","individuals","to","control","how","their","personal","data"]|Stricter regulations aim to empower individuals to control how their personal data information.|leaking|University
q-37|Why is philosophical inquiry still relevant?|Philosophy encourages us to _____ _____ _____ _____ _____ _____ _____ existence.|["question","the","fundamental","assumptions","underlying","our","understanding","of"]|Philosophy encourages us to question the fundamental assumptions underlying our understanding of existence.|easy|University
q-38|How does the banking system affect growth?|Stable financial institutions are _____ _____ _____ _____ _____ _____ _____ investment.|["crucial","for","facilitating","economic","growth","by","allocating","capital"]|Stable financial institutions are crucial for facilitating economic growth by allocating capital investment.|risky|University
q-39|What is the significance of space exploration?|Exploration expands our knowledge _____ _____ _____ _____ _____ _____ _____ universe.|["of","the","cosmos","and","drives","technological","advancement","the"]|Exploration expands our knowledge of the cosmos and drives technological advancement the universe.|earth|University
q-40|How do social movements drive change?|Collective action can exert _____ _____ _____ _____ _____ _____ _____ policy.|["significant","pressure","on","governments","to","enact","meaningful","social"]|Collective action can exert significant pressure on governments to enact meaningful social policy.|quiet|University
q-41|What is the role of genetics in medicine?|Genomic research allows for _____ _____ _____ _____ _____ _____ _____ diseases.|["the","development","of","personalized","treatments","tailored","to","specific"]|Genomic research allows for the development of personalized treatments tailored to specific diseases.|generic|University
q-42|How does education reduce poverty?|Access to quality education _____ _____ _____ _____ _____ _____ _____ opportunities.|["equips","individuals","with","the","skills","necessary","for","better"]|Access to quality education equips individuals with the skills necessary for better opportunities.|poor|University
q-43|What is the impact of mass media?|Mass media can shape _____ _____ _____ _____ _____ _____ _____ issues.|["public","opinion","and","influence","the","discourse","on","critical"]|Mass media can shape public opinion and influence the discourse on critical issues.|private|University
q-44|Why is biodiversity loss a concern?|The extinction of species _____ _____ _____ _____ _____ _____ _____ balance.|["threatens","the","stability","and","resilience","of","global","ecological"]|The extinction of species threatens the stability and resilience of global ecological balance.|safety|University
q-45|How do taxes fund public services?|Tax revenues are used _____ _____ _____ _____ _____ _____ _____ infrastructure.|["to","finance","essential","services","such","as","education","and"]|Tax revenues are used to finance essential services such as education and infrastructure.|private|University
q-46|What is the function of the brain?|The brain coordinates all _____ _____ _____ _____ _____ _____ _____ stimuli.|["bodily","functions","and","processes","information","from","various","sensory"]|The brain coordinates all bodily functions and processes information from various sensory stimuli.|muscle|University
q-47|How does microfinance help entrepreneurs?|Microloans provide small amounts _____ _____ _____ _____ _____ _____ _____ business.|["of","capital","to","individuals","who","lack","access","to"]|Microloans provide small amounts of capital to individuals who lack access to business.|debt|University
q-48|What is the role of the UN?|The United Nations promotes _____ _____ _____ _____ _____ _____ _____ rights.|["international","cooperation","to","maintain","peace","and","protect","human"]|The United Nations promotes international cooperation to maintain peace and protect human rights.|war|University
q-49|How does ocean acidification affect life?|Increased CO2 levels cause _____ _____ _____ _____ _____ _____ _____ ecosystems.|["ocean","acidification","which","harms","coral","reefs","and","marine"]|Increased CO2 levels cause ocean acidification which harms coral reefs and marine ecosystems.|fresh|University
q-50|Why is critical pedagogy important?|It encourages students to _____ _____ _____ _____ _____ _____ _____ structures.|["analyze","and","challenge","the","underlying","power","dynamics","social"]|It encourages students to analyze and challenge the underlying power dynamics social structures.|follow|University
